[2026-03-16T10:50:22+08:00] === 自动调度器监控启动 ===
[2026-03-16T10:50:22+08:00] 调度器未运行，清理PID文件
[2026-03-16T10:50:22+08:00] 重启调度器...
[2026-03-16T10:50:22+08:00] 启动自动资源分配调度器...
[2026-03-16T10:50:23+08:00] 调度器已启动，PID: 23987
[2026-03-16T10:51:23+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:52:23+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:53:23+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:54:23+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:55:23+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:56:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:57:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:58:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T10:59:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:00:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:01:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:02:24+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:03:25+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:04:25+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:05:25+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:06:25+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:07:25+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:08:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:09:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:10:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:11:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:12:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:13:26+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:14:27+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:15:27+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:16:27+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:17:27+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:18:27+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:19:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:20:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:21:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:22:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:23:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:24:28+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:25:29+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:26:29+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:27:29+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:28:29+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:29:29+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:30:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:31:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:32:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:33:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:34:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:35:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:36:30+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:37:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:38:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:39:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:40:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:41:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:42:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:43:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:44:31+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:49:56+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:50:56+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:51:56+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:52:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:53:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:54:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:55:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:56:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:57:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:58:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T11:59:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T12:00:57+08:00] 调度器正常运行，PID: 23987
[2026-03-16T12:01:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:02:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:03:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:04:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:05:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:06:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:07:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:08:58+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:09:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:10:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:11:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:12:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:13:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:14:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:15:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:16:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:17:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:18:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:19:59+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:21:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:22:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:23:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:24:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:25:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:26:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:27:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:28:00+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:29:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:30:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:31:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:32:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:33:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:34:01+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:35:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:36:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:37:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:38:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:39:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:40:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:41:02+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:42:03+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:43:03+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:44:03+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:45:03+08:00] 调度器正常运行，PID: 35915
[2026-03-16T12:46:03+08:00] 调度器正常运行，PID: 35915
